INDEX_ESTUDIANTE ,ESTRATO,EDAD,GENERO, DEMOGRAFIA SOCIO FAMILIAR,PROBLEMÁTICAS SOCIO FAMILIARES,ESTABILIDAD SOCIO-AFECTIVAS, LOS HÁBITOS DE ESTUDIO ,ESTILO DE APRENDIZAJE ,ESTRATEGIA DE APRENDIZAJE ,ESPACIO PERSONAL ,R ESTUDIO TRABAJO,R TIME ESTUDIO TRABAJO ,HABITOS PSICO-ACTIVOS 
1,5,19,1,7,0.2079829627,0.4777170452,0.02678571429,0.07312045431,0.8008765304,1,0,1.142857143,0.25
2,1,30,-1,4,0.01220881464,0.7437818038,0,0.351574203,0.1765273792,1,0,1.714285714,0.2
3,1,20,0,4,0.650358547,0.6557968001,0.02678571429,0.9811550599,0.3959219334,1,1,2,0
4,5,34,-1,7,0.3217431166,0.4755243275,0.01785714286,0.5975520881,0.5184765124,1,1,1.5,1
5,3,29,1,1,0.6348865133,0.5188801944,0.03571428571,0.5326718636,0.3726959995,0,0,3,0
6,5,35,1,2,0.8090242549,0.9665165004,0.02678571429,0.2329335408,0.2188091602,1,0,0.75,0.2
7,1,20,0,1,0.4823364676,0.3575264556,0.01785714286,0.5528541231,0.9089037059,1,1,1.714285714,-0.1
8,3,20,1,3,0.7442091316,0.8583020188,0.03571428571,0.9000127693,0.7940225256,0,1,1.333333333,0.1428571429
9,1,35,1,7,0.1289259596,0.8314771781,0.01785714286,0.1815733331,0.1722214456,0,1,0.8571428571,0.25
10,5,19,1,7,0.5421233023,0.246790159,0,0.9960472006,0.1001708599,0,1,1.333333333,-1
11,4,28,-1,4,0.8553368121,0.3707468895,0.01785714286,0.06044081338,0.8073310224,0,0,1.142857143,0.1
12,4,34,1,1,0.78440586,0.6300889735,0,0.16438216,0.6588550933,0,1,1.2,0.1
13,3,19,-1,6,0.2085387528,0.7513672724,0.01785714286,0.9811534968,0.3650821584,1,1,1.5,-1
14,5,16,0,7,0.7357981293,0.343153626,0.008928571429,0.1099252276,0.2184797206,0,0,2,0
15,3,27,-1,2,0.6601190359,0.3036894219,0.01785714286,0.331330152,0.137885049,1,0,2,0.5
16,1,16,0,5,0.1936183957,0.02731323917,0.03571428571,0.7616691631,0.5439258364,1,0,1.5,0
17,1,30,-1,5,0.6481840865,0.6838088005,0,0.8020296165,0.9708768104,1,1,1.142857143,-0.3333333333
18,3,32,1,7,0.2305995264,0.5053442811,0.02678571429,0.5460858352,0.5211152539,0,0,1.5,-0.3333333333
19,4,16,-1,4,0.2429509748,0.6220189759,0.01785714286,0.8963409117,0.02407891029,1,0,0.8571428571,-0.125
20,4,24,0,1,0.850620444,0.6122363619,0.03571428571,0.4837950892,0.6331593711,0,1,1.333333333,-0.1111111111
21,1,16,1,2,0.8770473909,0.463448717,0.02678571429,0.9736913398,0.8160838213,0,0,1,0.1428571429
22,3,31,1,5,0.7910383329,0.311310618,0,0.8617419603,0.009749349813,1,1,1.142857143,0
23,4,31,-1,1,0.3678284603,0.7767953747,0.008928571429,0.03705574445,0.1935627608,1,0,1.5,-0.2
24,4,20,-1,6,0.1753037779,0.9074409804,0,0.8573562184,0.8533755813,1,1,1,-1
25,3,18,-1,7,0.9176093954,0.4533120144,0.008928571429,0.6116730766,0.761241834,0,1,1.142857143,0
26,2,35,1,5,0.6806646258,0.5657079585,0.02678571429,0.05235994337,0.621469992,0,1,3,0.1
27,2,24,0,6,0.3548968703,0.9102861076,0.03571428571,0.7501591956,0.2514854123,1,1,1.6,0.2
28,2,31,0,2,0.5577655571,0.2261737118,0.008928571429,0.7339453825,0.8936164158,1,1,1.714285714,0.1666666667
29,2,20,1,5,0.6311389357,0.5958945118,0.02678571429,0.04040016757,0.89817043,0,1,2,0.1666666667
30,2,18,-1,5,0.6759296172,0.5542681145,0.02678571429,0.06125482113,0.1129271825,0,0,2,0
31,1,35,1,5,0.4282469662,0.5446289184,0.02678571429,0.08404549231,0.05242119629,0,0,1.5,0.125
32,4,17,0,4,0.7083407607,0.8215591865,0.01785714286,0.006122905376,0.08026310664,0,0,3,0
33,1,23,0,5,0.6865832278,0.3179400805,0.008928571429,0.0838946977,0.5936656175,0,0,2.4,0.1111111111
34,1,16,1,6,0.2880867571,0.7228602924,0.01785714286,0.748926323,0.1532811161,0,0,1.714285714,0
35,5,25,0,1,0.3150470934,0.08119514067,0.01785714286,0.2414639672,0.5634093127,0,1,1.6,-1
36,5,27,1,7,0.1162936852,0.6114913799,0.008928571429,0.322541646,0.9978051844,1,0,0.8571428571,0
37,5,28,1,4,0.2874927069,0.5977097413,0,0.6693790563,0.4055182401,1,1,2.4,0.1111111111
38,2,30,1,6,0.4789903835,0.5932244719,0.03571428571,0.5086285073,0.6295841849,0,0,1.714285714,-0.125
39,1,35,1,7,0.6155118792,0.5801049916,0,0.4991976501,0.1194426899,0,1,2,0
40,3,30,1,2,0.8058581357,0.3385460642,0.01785714286,0.6688948464,0.5273507297,1,0,1.714285714,0
