Pilar,ID-PILAR,Authors,Title,Year,INDICE PARAMÉTRICO,Abstract,Author Keywords
Integracion,1,"Devi K S., Paranitharan K.P., Agniveesh A I.",Interpretive framework by analysing the enablers for implementation of Industry 4.0: an ISM approach,2020,"0,6257808532","Today, industries are compelled to manufacture the products of excellent quality to meet the ever-increasing consumer demands competitively. Hence, implementing Industry 4.0 is becoming essentially the new age solution for industrial operations. This study attempts to categorise the important technological enablers for the Indian manufacturing industry in implementing Industry 4.0. In this context, 14 selected and identified enablers, namely Visual Computing, Big Data, Product Life Cycle Management, Supply Chain, Top Level Management, Collaborative Productivity, Internet of Things, Horizontal and Vertical Integration, Mass Customisation, Cyber-Physical System, Additive Manufacturing, Professional Training and Development, Networked Manufacturing Systems and Operational Efficiency, are identified through the review of literature and expert’s opinion for implementing Industry 4.0. Interpretive structural modelling (ISM) methodology is employed to appreciate the mutual relationships among the identified enablers. Furthermore, contextual interactions among the enablers are established by brainstorming with experts. The identified 14 technological enablers are further classified as dependent and driving factors. Later, the validation of the factors is done by MICMAC analysis. The interactions amongst these enablers will help the manufacturing organisations to prioritise and administer these factors efficiently and effectively to reap benefits during the implementation of Industry 4.0. Therefore, this study analyses the enablers to implement Industry 4.0 in the manufacturing industries. Also, it develops an interpretive framework that will help understand the interdependence of the enablers. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group.",enablers; Industry 4.0; ISM approach; manufacturing industry; MICMAC analysis
,1,"Micieta B., Binasova V., Lieskovsky R., Krajcovic M., Dulina L.",Product segmentation and sustainability in customized assembly with respect to the basic elements of industry 4.0,2019,"0,7405013371","Sustainable manufacturing is not just about manufacturing, but also products and services. In the area of custom production processes, there may also be circumstances of organizational management where compliance with labor productivity and the due-date principle is problematic. Similar products with different operating times cause the throughput of assembly lines to slow down, increase number of works in progress (WIP), and increase productivity waste. It is possible to reduce this impact through various productivity-enhancing methods and innovations. This paper presents an innovative approach to product segmentation in the assembly phase of custom manufacturing, and a proposal for a new segmentation procedure that will allow significantly better integration of products into existing assembly processes without negatively impacting the company's production indicators. The scientific problem was defined on the basis that extending existing segmentation by the third dimension of operating times allows products in MTO (made to order) environments to be divided into families with approximately equal operating times. This will increase assembly efficiency in existing medium to large companies without large investments in the development and adaptation of assembly process products. The contributions of this work relate mainly to simple adaptations to existing processes in medium-sized businesses. The proposed solution respects the basic elements of Industry 4.0. © 2019 by the authors.",Adaptive assembly; Operating times; Product segmentation; Sustainable manufacturing
,1,"Medojevic M., Díaz Villar P., Cosic I., Rikalovic A., Sremcev N., Lazarevic M.",Energy management in industry 4.0 ecosystem: A review on possibilities and concerns,2018,"0,342553621","It became more than evident that the era of Industry 4.0 is upon us, where industrial manufacturing companies are facing strong demand to increase their productivity by realizing smart factories and smart manufacturing. With the advantages of high-tech devices and solutions such as IPCs, industrial automation and machine automation technologies, hardware-software integration and various others, it is now possible to foster the development of Industry 4.0 through three logical steps. The first step considers the implementation of equipment connectivity: devices, machines, production lines and factories are connected to the system, and therefore, data transparency as well as information visualization can be obtained. In addition, the second step involves data collection and integration, as well as valued-added products and services that are introduced for smart manufacturing services. Lastly, the third step of intelligent innovative services is the enabling of intelligent machinery and big data analysis. Given the aforementioned, smart factory can be defined as a factory which harmonically implements Machine Automation, Equipment Monitoring & Optimization, Machine Monitoring & Predictive Maintenance, MES Integration & Production Traceability, Factory Energy Management System and Factory Environment Monitoring – developed with integrated automation and cloud innovation for industry 4.0. Having in mind that the aim of this paper is to review the possibilities and concerns of Energy Management in Industry 4.0 Ecosystem, this topic will be devoted to the greatest attention, while the importance of other equally relevant topics that are simply not the subject of this review should not be diminished or underestimated. © 2018, Danube Adria Association for Automation and Manufacturing, DAAAM. All rights reserved.",Energy efficiency; Energy management; Energy modelling; Industry 4.0; IoT
Ciberseguridad,2,"Wani T.A., Mendoza A., Gray K.",Hospital Bring-your-own-device security challenges and solutions: Systematic review of gray literature,2020,"0,585597358","Background: As familiarity with and convenience of using personal devices in hospitals help improve the productivity, efficiency, and workflow of hospital staff, the health care bring-your-own-device (BYOD) market is growing consistently. However, security concerns owing to the lack of control over the personal mobile devices of staff, which may contain sensitive data such as personal health information of patients, make it one of the biggest health care information technology (IT) challenges for hospital administrations. Objective: Given that the hospital BYOD security has not been adequately addressed in peer-reviewed literature, the aim of this paper was to identify key security challenges associated with hospital BYOD usage as well as relevant solutions that can cater to the identified issues by reviewing gray literature. Therefore, this research will provide additional practical insights from current BYOD practices. Methods: A comprehensive gray literature review was conducted, which followed the stepwise guidelines and quality assessment criteria set out by Garousi et al. The searched literature included tier 1 sources such as health care cybersecurity market reports, white papers, guidelines, policies, and frameworks as well as tier 2 sources such as credible and reputed health IT magazines, databases, and news articles. Moreover, a deductive thematic analysis was conducted to organize the findings based on Schlarman's People Policy Technology model, promoting a holistic understanding of hospitals' BYOD security issues and solutions. Results: A total of 51 sources were found to match the designed eligibility criteria. From these studies, several sociotechnical issues were identified. The major challenges identified were the use of devices with insufficient security controls by hospital staff, lack of control or visibility for the management to maintain security requirements, lack of awareness among hospital staff, lack of direction or guidance for BYOD usage, poor user experience, maintenance of legal requirements, shortage of cybersecurity skills, and loss of devices. Although technologies such as mobile device management, unified endpoint management, containerization, and virtual private network allow better BYOD security management in hospitals, policies and people management measures such as strong security culture and staff awareness and training improve staff commitment in protecting hospital data. Conclusions: The findings suggest that to optimize BYOD security management in hospitals, all 3 dimensions of the security process (people, policy, and technology) need to be given equal emphasis. As the nature of cybersecurity attacks is becoming more complex, all dimensions should work in close alignment with each other. This means that with the modernization of BYOD technology, BYOD strategy, governance, education, and relevant policies and procedures also need to adapt accordingly. © 2020 JMIR Publications. All rights reserved.",Bring-your-own-device; BYOD; Computer security; Confidentiality; Health care facilities; Mhealth; Mobile phone
,2,"Jang J.W., Kwon S., Kim S., Seo J., Oh J., Lee K.-H.",Cybersecurity Framework for IIoT-Based Power System Connected to Microgrid,2020,"0,5426737738","Compared to the past infrastructure networks, the current smart grid network can improve productivity and management efficiency. However, as the Industrial Internet of Things (IIoT) and Internet-based standard communication protocol is used, external network contacts are created, which is accompanied by security vulnerabilities from various perspectives. Accordingly, it is necessary to develop an appropriate cybersecurity guideline that enables effective reactions to cybersecurity threats caused by the abuse of such defects. Unfortunately, it is not easy for each organization to develop an adequate cybersecurity guideline. Thus, the cybersecurity checklist proposed by a government organization is used. The checklist does not fully reflect the characteristics of each infrastructure network. In this study, we proposed a cybersecurity framework that reflects the characteristics of a microgrid network in the IIoT environment, and performed an analysis to validate the proposed framework. Copyright © 2020 KSII",Cybersecurity Framework; Industrial internet of things; Microgrid
,2,"Rashdan Mahmood M., Tan B.T.S.",Real-time management of RAM data using OT and IT infrastructure in oil gas operations,2020,"0,1825250055","Managing safety-critical systems in real-time, across geographically diverse multiple oil gas installations, both offshore and onshore, is in itself a huge challenge for any corporation. PETRONAS, through its Exploration, Development Production subsidiary PETRONAS Carigali Sdn Bhd, has successfully deployed a digital solution to remotely manage multiple safety-critical systems under different operational technology (OT) sites from a centralized location in real-time over its existing corporate information technology (IT) infrastructure. Thus, creating the first approach to reliability domain-based information data lake to assist real time operation of safety-critical systems and improve production efficiencies. In this paper, readers be given an insight into the journey of PRiME-IO, the digital solution currently overlooking real-time operation of multiple OT safety-critical systems such as DCS and safety PLCs across hundreds of offshore and onshore sites. Challenges in OT/IT convergence, including but not limited to cybersecurity and data transmission reliability, and the solutions adopted to overcome these, will be discussed at length. Apart from the hardware and infrastructure aside, key human factor considerations such as competency upskilling of engineers and technicians, enabling fast feedbacks on decisions, as well as changes in work processes and improved productivity, will also be highlighted. Tangible operational benefits such as lower risk exposure to frontline operations, faster response time and lower day-to-day logistic costs will also be demonstrated. © 2020 IEEE.",Analytics; Brownfield; Digitalization; Operation technology; Reliability management
,2,"Dalmarco G., Ramalho F.R., Barros A.C., Soares A.L.",Providing industry 4.0 technologies: The case of a production technology cluster,2019,"0,3676214656","The concept of industry 4.0 (i4.0) encompasses the integration of different technologies into an autonomous, knowledge- and sensor-based, self-regulating production system. Our objective is to synthesize which are the challenges and opportunities of adopting i4.0 from the perspective of technology provider companies. A single-case research was conducted with ten companies at the Portuguese Production Technologies Cluster. Based on i4.0 technologies – Augmented reality; Additive Manufacturing; Big Data; Cloud Computing; Cyber-Physical Systems; Cybersecurity; Smart Robotics; Simulation; and System Integration – interviewees mentioned that the main adoption challenges are the analysis of data generated, integration of new technologies with available equipment and workforce, and computational limitations. The main opportunities are improvements in: efficiency; flexibility; productivity; cybersecurity; quality of products and services; and decision process due to data analysis. Interviewees have also foreseen changes in company's business model through the integration of internal resources with complementary activities of their partners and other cluster companies. © 2019 Elsevier Inc.",Industry 4.0; Portugal; Technology adoption; Technology management; Technology provider companies
,2,"Yeasmin S., Baig A.",Unblocking the Potential of Blockchain,2019,"0,7576076954","Technology has become an integral part of our life. One of the most emerging technologies of the 21st century is blockchain. It is a revolution for the digital world as it brings a new perspective of security, efficiency, and productivity of different frameworks. It works as a distributed database that is shared among a decentralized network of computers. It stores information about the transaction that is made with cryptocurrency and is maintained with the help of different computers which are linked in a peer-to-peer network. No single user can control the transactions, but everyone can inspect it. The information about the transactions is assembled as a 'block' and these blocks are linked with each other as a 'chain'. That's why it is called blockchain. The information inside blocks is immutable. The technology of blockchain is so efficient that it is not only used in securing financial information but also in credit history, real estate, public transport, music streaming, healthcare and so forth. According to Don and Alex Tapscott (2016), blockchain records not just financial transactions but virtually everything valuable. Currently, there is a wide spectrum of blockchain applications. The purpose of the research paper is to discuss some of the utilization of blockchain and they are Cybersecurity, Internet of Things (IoT), Fintech, Cloud Storage, Media, Travel, and Education. Furthermore, this paper examines both aspects, advantages, and disadvantages, of the blockchain. Finally, it identifies the problem areas of the technology that can be studied further to increase the effectiveness of blockchain. © 2019 IEEE.",Blockchain; Cloud storage; Cybersecurity; Education; Fintech; IoT; Media; Travel
,2,"Sánchez Sánchez P.M., Huertas Celdrán A., Fernández Maimó L., Martínez Pérez G., Wang G.",Securing smart offices through an intelligent and multi-device continuous authentication system,2019,"0,1460193956","Smart Offices promise the improvement of working conditions in terms of efficiency, productivity and facility. However, new cybersecurity challenges arise associated with the new capabilities of Smart Cities. One of the key challenges is the utilisation of continuous and non-invasive authentication mechanisms since traditional authentication methods have important limitations. Thus, to cover these limitations, the main contribution of this paper is the design and deployment of a continuous and intelligent authentication architecture oriented to Smart Offices. The architecture is oriented to the cloud computing paradigm and considers Machine Learning techniques to authenticate users according to their behaviours. Some experiments demonstrated the suitability of the proposed solution when recognising and authenticating different users using a classification algorithm. © Springer Nature Singapore Pte Ltd. 2019.",Behaviour patterns; Classification; Continuous authentication; IoT devices; Machine learning; Smart office
,2,"Gordon K., Birnbaum Z., Davis M., Dolgikh A.",ACE: Advanced CIP evaluator,2018,"0,04837770618","Industrial control systems (ICS) are key enabling systems that drive the productivity and efficiency of omnipresent industries such as power, gas, water treatment, transportation, and manufacturing. These systems consist of interconnected components that communicate over industrial networks using industrial protocols such as the Common Industrial Protocol (CIP). CIP is one of the most commonly used network-based process control protocols, and utilizes an object-oriented communication structure for device to device interaction. Due to this object-oriented structure, CIP communication reveals detailed information about the devices, the communication patterns, and the system, providing an in-depth view of the system. The details from this in-depth system perspective can be utilized as part of a system cybersecurity or discovery approach. However, due to the variety of commands, corresponding parameters, and variable layer structure of the CIP network layer, processing this layer is a challenging task. This paper presents a tool, Advanced CIP Evaluator (ACE), which passively processes the CIP communication layer and automatically extracts device, communication, and system information from observed network traffic. ACE was tested and verified using a representative ICS power generation testbed. Since ACE operates passively, without generating any network traffic of its own, system operations are not disturbed. This novel tool provides ICS information, such as networked devices, communication patterns, and system operation, at a depth and breadth that is unique compared with other known tools. © 2018 Association for Computing Machinery.",Common industrial protocol; Industrial control systems; Passive network analysis
