RESULTADOS_CONVOCATORIA;CÓDIGO DE GRUPO;NOMBRE DEL GRUPO;LÍDER DEL GRUPO;GRUPO RECONOCIDO;GRUPO INSCRITO PARA MEDICIÓN;CLASIFICACIÓN DEL GRUPO
2013 - Convocatoria 640 - 2013;COL0000309;EDUCACIÓN, DESARROLLO Y CONVIVENCIA;ENRIQUE CHAUX TORRES;Si;;B
2013 - Convocatoria 640 - 2013;C0L0000407;ALIMENTACIÓN Y NUTRICIÓN HUMANA;CLAUDIA MARIA VELASQUEZ RODRIGUEZ;Si;;B
2013 - Convocatoria 640 - 2013;C0L0000505;ACUICULTURA TROPICAL;JORGE AUGUSTO ANGULO SINISTERRA;Si;;C
2013 - Convocatoria 640 - 2013;COL0000603;POLÍTICA Y ECONOMÍA DE LA SALUD CENDEX;ROLANDO ENRIQUE PEÑALOZA QUINTERO;Si;;B
2013 - Convocatoria 640 - 2013;C0L0000908;BIOFÍSICA Y BIOQUÍMICA ESTRUCTURAL;JOSE ALFONSO LEYVA ROJAS;Si;;C
2013 - Convocatoria 640 - 2013;C0L0001001;GRUPO DE INVESTIGACIONES AGROINDUSTRIALES GRAIN;LINA MARÍA VELEZ ACOSTA;Si;;B
2013 - Convocatoria 640 - 2013;COL0002009;LABORATORIO DE CATÁLISIS HETEROGÉNEA;JESÚS SIGIFREDO VALENCIA RIOS;Si;;A1
2013 - Convocatoria 640 - 2013;COL0004003;ECOLOGIA Y DIVERSIDAD DE ALGAS MARINAS Y ARRECIFES CORALINOS;ROCIO DEL PILAR GARCÍA URUEÑA;Si;;C
2013 - Convocatoria 640 - 2013;COL0006008;GRUPO DE INVESTIGACION EN DERECHO ADMINISTRATIVO;EFRAIM ALBERTO MONTAÑA PLATA;Si;;B
2013 - Convocatoria 640 - 2013;COL0008002;GRUPO DE EDUCACIÓN EN CIENCIAS EXPERIMENTALES Y MATEMÁTICAS GECEM;CARLOS ARTURO SOTO LOMBANA;Si;;A1
2013 - Convocatoria 640 - 2013;C0L0009009;GRUPO DE INVESTIGACIÓN EN DERECHO Y ECONOMIA;EMILIO JOSÈ ARCHILA PEÑALOSA;Si;;D
2013 - Convocatoria 640 - 2013;C0L0060002;INVESTIGACIÓN, APRENDIZAJE Y COMUNICACIÓN;ELBA LEÓN MORA;Si;;D
2019 - Convocatoria 833 - 2018;COL0000013;GRUPO DE ESTUDIOS ECOGENETICOS Y DE BIOLOGIA MOLECULAR;NELSON TORO PEREA;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000013;GRUPO DE ESTUDIOS ECOGENETICOS Y DE BIOLOGIA MOLECULAR;NELSON TORO PEREA;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000013;GRUPO DE ESTUDIOS ECOGENETICOS Y DE BIOLOGIA MOLECULAR;NELSON TORO PEREA;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000013;GRUPO DE ESTUDIOS ECOGENETICOS Y DE BIOLOGIA MOLECULAR;NELSON TORO PEREA;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0000013;GRUPO DE ESTUDIOS ECOGENETICOS Y DE BIOLOGIA MOLECULAR;NELSON TORO PEREA;Si;;C
2019 - Convocatoria 833 - 2018;COL0000022;CIEM COLECTIVO DE INVESTIGADORES EN EDUCACION MATEMATICA;ELIZABETH HURTADO MARTINEZ;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0000022;CIEM COLECTIVO DE INVESTIGADORES EN EDUCACION MATEMATICA;ELIZABETH HURTADO MARTINEZ;Si;Sí;Reconocido
2016 - Convocatoria 737 - 2015;COL0000022;CIEM COLECTIVO DE INVESTIGADORES EN EDUCACION MATEMATICA;ELIZABETH HURTADO MARTINEZ;Si;SÍ;C
2016 - Convocatoria 737 - 2015;COL0000031;GIIE GRUPO DE INVESTIGACION EN INFORMATICA EDUCATIVA;RUTH DARY ESCOBAR SARRIA;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000049;GISAPAGRUPO DE INVESTIGACIÓN EN SISTEMAS AGROFORESTALES PARA LA AMAZONIA;JOSÉ ALFREDO ORJUELA CHAVES;Si;;B
2019 - Convocatoria 833 - 2018;COL0000049;GISAPAGRUPO DE INVESTIGACIÓN EN SISTEMAS AGROFORESTALES PARA LA AMAZONIA;FAVER ALVAREZ CARRILLO;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0000049;GISAPAGRUPO DE INVESTIGACIÓN EN SISTEMAS AGROFORESTALES PARA LA AMAZONIA;FAVER ALVAREZ CARRILLO;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0000049;GISAPAGRUPO DE INVESTIGACIÓN EN SISTEMAS AGROFORESTALES PARA LA AMAZONIA;FAVER ALVAREZ CARRILLO;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0000049;GISAPAGRUPO DE INVESTIGACIÓN EN SISTEMAS AGROFORESTALES PARA LA AMAZONIA;JOSÉ ALFREDO ORJUELA CHAVES;Si;SÍ;B
2019 - Convocatoria 833 - 2018;COL0000059;CENTRO DE INVESTIGACIONES ODONTOLÓGICAS;NELLY STELLA ROA MOLINA;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000059;CENTRO DE INVESTIGACIONES ODONTOLÓGICAS;NELLY STELLA ROA MOLINA;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000059;CENTRO DE INVESTIGACIONES ODONTOLÓGICAS;LILIANA MARGARITA OTERO MENDOZA;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000059;CENTRO DE INVESTIGACIONES ODONTOLÓGICAS;LILIANA MARGARITA OTERO MENDOZA;Si;SÍ;B
